* 对比了太原发射中心和美国人的行事风格

speaker说，中国人是不断test-build-test-build，美国人更analytical，会用计算机先模拟

EDL	00:08:02,559	00:08:05,375	| Episode 21 Mr. Thousand Satellites |	I rotate between the launch bases in California
EDL	00:08:05,887	00:08:09,215	| Episode 21 Mr. Thousand Satellites |	Baikonur Kazakhstan where the proton rocket was launched
EDL	00:08:09,471	00:08:11,775	| Episode 21 Mr. Thousand Satellites |	Also go to Moscow for integration meetings
EDL	00:08:12,287	00:08:15,615	| Episode 21 Mr. Thousand Satellites |	Over to Beijing for the Chinese integration meetings in Taiyuan
EDL	00:08:15,871	00:08:16,895	| Episode 21 Mr. Thousand Satellites |	Launch bases are
EDL	00:08:17,151	00:08:19,967	| Episode 21 Mr. Thousand Satellites |	We was very interesting program and really I found it
EDL	00:08:20,479	00:08:21,759	| Episode 21 Mr. Thousand Satellites |	The Russians and the Chinese
EDL	00:08:22,015	00:08:23,551	| Episode 21 Mr. Thousand Satellites |	Well the Russians invented
EDL	00:08:23,807	00:08:29,951	| Episode 21 Mr. Thousand Satellites |	rocket as we know it just the same time we did China was coming up to curb they were getting faster at an incredible rate they were getting better
EDL	00:08:30,207	00:08:33,535	| Episode 21 Mr. Thousand Satellites |	at an incredible rate and I found it both Russia and China
EDL	00:08:33,791	00:08:35,071	| Episode 21 Mr. Thousand Satellites |	Their cultures were
EDL	00:08:35,583	00:08:37,631	| Episode 21 Mr. Thousand Satellites |	less analytical than American aerospace culture
EDL	00:08:38,143	00:08:39,423	| Episode 21 Mr. Thousand Satellites |	They were very much driven by
EDL	00:08:39,935	00:08:43,007	| Episode 21 Mr. Thousand Satellites |	test build test cycles and I found it really in the commercial
EDL	00:08:43,263	00:08:44,031	| Episode 21 Mr. Thousand Satellites |	Space here in the US
EDL	00:08:44,543	00:08:45,823	| Episode 21 Mr. Thousand Satellites |	We're so pretty well we do those
EDL	00:08:46,591	00:08:47,615	| Episode 21 Mr. Thousand Satellites |	Will you move out of the Analytics
EDL	00:08:48,127	00:08:51,455	| Episode 21 Mr. Thousand Satellites |	Don't spend a year or two trying to figure out exactly how to optimize a problem
EDL	00:08:51,711	00:08:57,855	| Episode 21 Mr. Thousand Satellites |	The build something that maybe a sub-optimal test it and then use that result to go to the next phase
EDL	00:08:58,111	00:09:04,255	| Episode 21 Mr. Thousand Satellites |	Of modeling and use that model activate is that the one thing really really really good
EDL	00:09:04,511	00:09:08,095	| Episode 21 Mr. Thousand Satellites |	Who died in the u.s. is very good computers and a very good computer algorithms
EDL	00:09:09,119	00:09:09,887	| Episode 21 Mr. Thousand Satellites |	Analytically
EDL	00:09:10,399	00:09:12,959	| Episode 21 Mr. Thousand Satellites |	Predict what it what a rock it would do under structural load
EDL	00:09:13,471	00:09:16,287	| Episode 21 Mr. Thousand Satellites |	Or under guidance navigation control algorithms which is great
EDL	00:09:16,543	00:09:17,823	| Episode 21 Mr. Thousand Satellites |	But it doesn't really tell you
EDL	00:09:18,079	00:09:20,127	| Episode 21 Mr. Thousand Satellites |	Everything that could possibly happen during a flight
EDL	00:09:20,383	00:09:22,175	| Episode 21 Mr. Thousand Satellites |	Rise of flight actually does tell you that



* Space X
EDL	00:11:45,791	00:11:48,863	| Episode 21 Mr. Thousand Satellites |	And the.com crash of 2000-2001
EDL	00:11:49,119	00:11:51,935	| Episode 21 Mr. Thousand Satellites |	Made it really hard for us to get that financing so we ended up
EDL	00:11:52,191	00:11:53,983	| Episode 21 Mr. Thousand Satellites |	I'm not going forward to that program
EDL	00:11:54,239	00:11:59,103	| Episode 21 Mr. Thousand Satellites |	I even though we had gotten FCC license for a lot of spectrum and I and it had a really good chance of
EDL	00:11:59,871	00:12:00,639	| Episode 21 Mr. Thousand Satellites |	Major success
EDL	00:12:00,895	00:12:01,919	| Episode 21 Mr. Thousand Satellites |	And it was at its base
EDL	00:12:02,175	00:12:03,711	| Episode 21 Mr. Thousand Satellites |	I'm a very compelling architect
EDL	00:12:04,223	00:12:06,783	| Episode 21 Mr. Thousand Satellites |	I moved from there and did Engineering Services
EDL	00:12:07,039	00:12:07,807	| Episode 21 Mr. Thousand Satellites |	In San Diego
EDL	00:12:08,063	00:12:10,111	| Episode 21 Mr. Thousand Satellites |	I had a really good time at some of the
EDL	00:12:10,367	00:12:11,903	| Episode 21 Mr. Thousand Satellites |	Early days of uavs
EDL	00:12:12,415	00:12:13,439	| Episode 21 Mr. Thousand Satellites |	Predator and Global Hawk
EDL	00:12:13,951	00:12:17,279	| Episode 21 Mr. Thousand Satellites |	Not to be insulting down there for the early UAV designs
EDL	00:12:17,791	00:12:19,583	| Episode 21 Mr. Thousand Satellites |	And then move to
EDL	00:12:19,839	00:12:22,399	| Episode 21 Mr. Thousand Satellites |	Orbital Sciences where I got into the governor
EDL	00:12:23,679	00:12:24,191	| Episode 21 Mr. Thousand Satellites |	And then after
EDL	00:12:24,447	00:12:25,471	| Episode 21 Mr. Thousand Satellites |	Keeping a commercial side going
EDL	00:12:25,727	00:12:27,007	| Episode 21 Mr. Thousand Satellites |	After the orbital Sciences
EDL	00:12:27,263	00:12:27,775	| Episode 21 Mr. Thousand Satellites |	The curb
EDL	00:12:28,031	00:12:28,799	| Episode 21 Mr. Thousand Satellites |	I went to space X
EDL	00:12:29,055	00:12:30,335	| Episode 21 Mr. Thousand Satellites |	Savage in 2011
EDL	00:12:30,591	00:12:32,127	| Episode 21 Mr. Thousand Satellites |	And I worked as the
EDL	00:12:32,383	00:12:34,175	| Episode 21 Mr. Thousand Satellites |	Senior director for Dragon production
EDL	00:12:34,687	00:12:36,223	| Episode 21 Mr. Thousand Satellites |	I building a capsule to go to the space
EDL	00:12:36,735	00:12:38,015	| Episode 21 Mr. Thousand Satellites |	So it's been 5 years there
EDL	00:12:38,527	00:12:40,831	| Episode 21 Mr. Thousand Satellites |	And I had just an amazing amazing run
EDL	00:12:41,087	00:12:41,599	| Episode 21 Mr. Thousand Satellites |	Putting
EDL	00:12:41,855	00:12:42,367	| Episode 21 Mr. Thousand Satellites |	Putting almost
EDL	00:12:42,623	00:12:43,903	| Episode 21 Mr. Thousand Satellites |	Those capsules up also
EDL	00:12:44,159	00:12:45,695	| Episode 21 Mr. Thousand Satellites |	I got to work on the landing legs
EDL	00:12:46,207	00:12:47,487	| Episode 21 Mr. Thousand Satellites |	And CNN
EDL	00:12:47,743	00:12:49,023	| Episode 21 Mr. Thousand Satellites |	Play a good part in the
EDL	00:12:49,279	00:12:50,303	| Episode 21 Mr. Thousand Satellites |	Historic Landing
EDL	00:12:50,559	00:12:51,071	| Episode 21 Mr. Thousand Satellites |	Most of those first
